[INFO] 2025-12-15T10:12:57.839Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:12:57.995Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:13:22.818Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:13:22.972Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:13:30.113Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:13:30.267Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:20:57.646Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:20:57.795Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:21:23.734Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:21:23.905Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:24:14.820Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:24:15.000Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:33:33.326Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:33:33.485Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:46:10.021Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:46:16.849Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:46:17.000Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T10:46:26.747Z - Admin getAllBookings | admin=68ddddf0784d8104d58f29f7 count=31
[INFO] 2025-12-15T12:20:51.804Z - Get fields | count=4
[INFO] 2025-12-15T12:20:51.900Z - Get fields | count=4
[INFO] 2025-12-15T12:20:54.651Z - Get fields | count=4
[INFO] 2025-12-15T12:20:54.762Z - Get fields | count=4
[INFO] 2025-12-15T12:20:57.062Z - Get availability | field=68e629be558a6c4a50b11a8e date=2025-12-16 open=08:00 close=23:59 booked=0
[INFO] 2025-12-15T12:22:29.047Z - Booking created | bookingId=693ffd8471a538480f60edd1 user=68dddea4784d8104d58f2a02 field=68e629be558a6c4a50b11a8e date=2025-12-16 time=09:00-10:00 total=200000
